"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2019","2.811","2.833","2.838","2.806","-","-0.64%"
"Feb 07, 2019","2.829","2.826","2.850","2.822","73.36K","-0.28%"
"Feb 06, 2019","2.837","2.817","2.848","2.813","59.47K","0.71%"
"Feb 05, 2019","2.817","2.803","2.825","2.797","59.59K","0.79%"
"Feb 04, 2019","2.795","2.770","2.802","2.751","63.29K","0.79%"
"Feb 01, 2019","2.773","2.783","2.785","2.753","64.61K","-0.40%"
"Jan 31, 2019","2.784","2.775","2.797","2.766","78.60K","0.58%"
"Jan 30, 2019","2.768","2.721","2.787","2.716","92.17K","1.58%"
"Jan 29, 2019","2.725","2.680","2.725","2.679","66.81K","1.68%"
"Jan 28, 2019","2.680","2.733","2.733","2.676","77.15K","-1.80%"
"Jan 25, 2019","2.729","2.645","2.737","2.644","93.39K","3.21%"
"Jan 24, 2019","2.644","2.654","2.664","2.635","59.05K","-0.41%"
"Jan 23, 2019","2.655","2.663","2.676","2.648","59.25K","-0.15%"
"Jan 22, 2019","2.659","2.715","2.716","2.651","92.24K","-0.86%"
"Jan 21, 2019","2.682","2.709","2.710","2.675","-","-1.00%"
"Jan 20, 2019","2.709","2.712","2.716","2.709","-","-0.37%"
"Jan 18, 2019","2.719","2.697","2.727","2.687","78.07K","1.46%"
"Jan 17, 2019","2.680","2.671","2.712","2.659","65.82K","0.22%"
"Jan 16, 2019","2.674","2.641","2.680","2.636","72.87K","1.48%"
"Jan 15, 2019","2.635","2.630","2.664","2.630","65.69K","0.00%"
"Jan 14, 2019","2.635","2.654","2.661","2.616","69.05K","-1.01%"
"Jan 11, 2019","2.662","2.635","2.667","2.634","66.90K","0.91%"
"Jan 10, 2019","2.638","2.660","2.671","2.629","71.64K","-0.72%"
"Jan 09, 2019","2.657","2.651","2.687","2.648","78.68K","0.04%"
"Jan 08, 2019","2.656","2.638","2.658","2.623","66.00K","0.72%"
"Jan 07, 2019","2.637","2.650","2.659","2.631","57.83K","-0.38%"
"Jan 04, 2019","2.647","2.576","2.655","2.567","83.28K","3.08%"
"Jan 03, 2019","2.568","2.602","2.620","2.543","88.58K","-2.10%"
"Jan 02, 2019","2.623","2.642","2.675","2.595","85.02K","-1.09%"
"Jan 01, 2019","2.652","2.643","2.654","2.638","-","0.80%"
"Dec 31, 2018","2.631","2.678","2.704","2.624","44.01K","-1.90%"
"Dec 28, 2018","2.682","2.682","2.725","2.671","53.56K","0.52%"
"Dec 27, 2018","2.668","2.702","2.707","2.658","47.35K","-1.19%"
"Dec 26, 2018","2.700","2.671","2.728","2.642","41.24K","1.47%"
"Dec 25, 2018","2.661","2.664","2.671","2.649","-","0.00%"
"Dec 24, 2018","2.661","2.667","2.681","2.650","38.59K","-0.49%"
"Dec 21, 2018","2.674","2.701","2.712","2.664","50.51K","-0.82%"
"Dec 20, 2018","2.696","2.677","2.710","2.650","70.66K","-0.74%"
